Year,Genre,NA Sales
2015,Puzzle,0.05
2016,Puzzle,
2017,Puzzle,
2020,Puzzle,
,Platform,1.06
1980,Platform,
1981,Platform,6.47
1982,Platform,4.69
1983,Platform,2.8
1984,Platform,0
1985,Platform,29.93
1986,Platform,1.07
1987,Platform,0.9
1988,Platform,16.34
1989,Platform,12.14
1990,Platform,14.14
1991,Platform,4.36
1992,Platform,8.23
1993,Platform,9.66
1994,Platform,14.88
1995,Platform,6.61
1996,Platform,13.81
1997,Platform,10.81
1998,Platform,17.05
1999,Platform,13
2000,Platform,7.87
2001,Platform,21.61
2002,Platform,26.73
2003,Platform,25.31
2004,Platform,26.35
2005,Platform,15.58
2006,Platform,23.32
2007,Platform,19.02
2008,Platform,17.57
2009,Platform,20.27
2010,Platform,17.16
2011,Platform,13.06
2012,Platform,7.32
2013,Platform,11.62
2014,Platform,3.02
2015,Platform,2.5
2016,Platform,0.79
2017,Platform,
2020,Platform,
,Misc,7.76
1980,Misc,2.53
1981,Misc,
1982,Misc,0.81
1983,Misc,0.01
1984,Misc,0
1985,Misc,
1986,Misc,
1987,Misc,
1988,Misc,
1989,Misc,0
1990,Misc,
1991,Misc,0
1992,Misc,2.3
1993,Misc,0
1994,Misc,1.49
1995,Misc,2.31
1996,Misc,4.08
1997,Misc,3.28
1998,Misc,5.53
1999,Misc,11.95
2000,Misc,7.14
2001,Misc,9.96
2002,Misc,8.49
2003,Misc,10.71
2004,Misc,17.15
2005,Misc,26.8
2006,Misc,26.05
2007,Misc,47.9
2008,Misc,47.63
2009,Misc,41.1
2010,Misc,54.97
2011,Misc,32.31
2012,Misc,10.99
2013,Misc,12.53
2014,Misc,9.43
2015,Misc,4.81
2016,Misc,0.22
2017,Misc,
2020,Misc,
,Fighting,2.85
1980,Fighting,0.72
1981,Fighting,
1982,Fighting,
1983,Fighting,
1984,Fighting,
1985,Fighting,0
1986,Fighting,
1987,Fighting,2.8
1988,Fighting,
1989,Fighting,
1990,Fighting,
1991,Fighting,0
1992,Fighting,6.88
1993,Fighting,2
1994,Fighting,2.85
1995,Fighting,4.39
1996,Fighting,7.12
1997,Fighting,6.03
1998,Fighting,18.43
1999,Fighting,8.51
2000,Fighting,9.69
2001,Fighting,9.19
2002,Fighting,14
2003,Fighting,13.32
2004,Fighting,9.94
2005,Fighting,10.33
2006,Fighting,12.48
2007,Fighting,7.33
2008,Fighting,18.23
2009,Fighting,17.55
2010,Fighting,7.46
2011,Fighting,11.88
2012,Fighting,4.34
2013,Fighting,3.18
2014,Fighting,6.89
2015,Fighting,3.6
2016,Fighting,1.6
2017,Fighting,
2020,Fighting,
,Adventure,3.74
1980,Adventure,
1981,Adventure,
1982,Adventure,
1983,Adventure,0.38
1984,Adventure,
1985,Adventure,
1986,Adventure,
1987,Adventure,2.19
1988,Adventure,
1989,Adventure,
1990,Adventure,
1991,Adventure,0.85
1992,Adventure,6.17
1993,Adventure,0
1994,Adventure,0.06
1995,Adventure,0.02
1996,Adventure,0.86
1997,Adventure,2.36
1998,Adventure,3.17
1999,Adventure,3.32
2000,Adventure,1.01
2001,Adventure,3.92
2002,Adventure,4.72
2003,Adventure,0.96
2004,Adventure,4.96
2005,Adventure,5.1
2006,Adventure,5.16
2007,Adventure,13.06
2008,Adventure,13.01
2009,Adventure,10.14
2010,Adventure,6.3
2011,Adventure,5.89
2012,Adventure,1.78
2013,Adventure,1.63
2014,Adventure,1.94
2015,Adventure,2.76
2016,Adventure,0.34
2017,Adventure,
2020,Adventure,
,Action,16.03
1980,Action,0.32
1981,Action,13.86
1982,Action,6.07
1983,Action,2.67
1984,Action,0.8
1985,Action,1.64
1986,Action,6.52
1987,Action,1.04
1988,Action,1.15
1989,Action,3.83
1990,Action,4.27
1991,Action,3.47
1992,Action,2.21
1993,Action,0.64
1994,Action,0.57
1995,Action,1.73
1996,Action,10.65
1997,Action,14.4
1998,Action,20.15
1999,Action,14.91
2000,Action,17.79
2001,Action,29.81
2002,Action,47.81
2003,Action,37.74
2004,Action,39.08
2005,Action,49.62
2006,Action,38.37
2007,Action,58.9
2008,Action,72.39
2009,Action,71.610000000
2010,Action,60.32
2011,Action,53.73
2012,Action,52.51
2013,Action,53.79
2014,Action,38.73
2015,Action,22.83
2016,Action,5.87
2017,Action,0
2020,Action,
